"AnimalID","2011","2012","2013","2014","2015","2016","2017","2018"
14506,1,4,3,2,3,3,3,4
14507,1,4,3,4,4,4,4,4
14509,1,4,4,4,4,1,4,4
14510,1,4,4,4,4,4,4,4
14511,1,4,4,4,4,4,4,4
14512,1,1,4,4,4,4,4,4
14513,1,4,2,4,4,4,4,4
14514,1,1,4,1,2,2,3,4
14515,1,1,2,3,2,1,4,1
14516,1,4,4,4,4,4,4,4
14517,1,4,4,3,3,3,3,1
14518,1,2,4,4,4,4,4,4
14519,1,4,4,4,4,4,4,4
14520,1,4,4,4,4,4,4,4
14523,1,1,4,4,4,4,4,4
14524,1,1,1,3,3,3,3,1
14528,1,4,4,4,4,4,4,4
14530,1,4,2,4,4,4,4,4
14531,1,4,3,3,3,2,3,4
14532,1,1,4,4,4,4,4,4
14535,1,1,4,4,4,4,4,4
14539,1,1,3,4,4,4,4,4
14540,1,4,4,1,4,4,4,4
14543,1,4,3,3,3,3,1,1
14544,1,4,3,2,4,4,4,4
14545,1,4,4,4,4,4,4,4
14547,1,1,3,3,4,4,4,4
14554,1,4,4,4,4,4,4,4
14556,1,4,4,4,4,4,4,4
14557,1,1,3,2,4,4,4,4
14559,1,4,4,4,2,2,2,1
15163,4,4,2,3,2,4,4,4
15165,4,4,2,2,4,4,4,4
15166,4,4,1,2,4,4,4,4
15167,4,4,1,3,4,4,4,4
15169,4,4,1,4,4,4,4,4
15170,4,4,1,1,4,4,4,4
15171,4,4,2,2,4,4,4,4
15176,4,4,1,3,3,3,1,1
15177,4,4,2,3,3,4,4,4
15178,4,4,1,4,4,4,4,4
15179,4,4,3,1,4,4,4,4
15182,4,4,2,1,3,2,3,4
15184,4,4,1,4,4,4,4,4
15186,4,4,1,1,4,4,4,4
15187,4,4,1,4,4,4,4,4
15188,4,4,1,4,4,4,4,4
15189,4,4,1,4,4,4,4,4
15194,4,4,2,4,4,4,4,4
15197,4,4,1,4,4,4,4,4
15202,4,4,1,3,4,4,1,4
15205,4,4,1,4,4,4,4,4
15206,4,4,1,4,4,4,4,4
15208,4,4,1,4,4,4,4,4
15210,4,4,1,4,1,4,4,4
15211,4,4,1,4,4,4,4,4
15212,4,4,1,4,4,2,2,1
15213,4,4,1,4,4,4,1,1
15217,4,4,1,4,4,4,4,4
15218,4,4,1,4,4,4,4,4
15221,4,4,1,4,4,4,4,4
15223,4,4,1,4,4,4,4,4
15225,4,4,1,4,4,4,4,4
15226,4,4,1,4,4,4,4,4
15227,4,4,1,3,3,4,4,4
15229,4,4,1,4,4,4,4,4
15230,4,4,1,4,4,4,4,4
15231,4,4,1,4,1,4,4,4
15232,4,4,1,4,4,4,4,1
15235,4,4,1,4,4,4,4,4
15237,4,4,1,1,4,4,4,4
15238,4,4,1,4,4,4,4,4
15239,4,4,1,1,4,4,4,4
15240,4,4,1,4,4,4,4,4
15241,4,4,1,4,4,4,4,4
15243,4,4,1,4,4,4,4,4
15244,4,4,1,1,4,4,4,4
15245,4,4,1,1,3,3,3,1
15246,4,4,1,4,4,4,4,4
15250,4,4,1,4,4,4,4,4
15252,4,4,1,4,4,4,1,4
15254,4,4,1,4,4,4,4,4
15255,4,4,1,4,4,4,4,4
15256,4,4,1,4,4,4,4,4
15260,4,4,1,2,2,4,4,4
15262,4,4,1,4,4,4,4,4
15264,4,4,1,3,4,4,4,4
15266,4,4,1,4,4,4,4,4
15676,4,4,4,4,1,3,1,4
15683,4,4,4,4,1,3,4,4
15689,4,4,4,4,1,4,4,4
15690,4,4,4,4,1,4,4,4
15691,4,4,4,4,1,1,4,4
15692,4,4,4,4,1,4,4,4
15693,4,4,4,4,1,4,4,4
15694,4,4,4,4,1,3,3,4
15702,4,4,4,4,1,3,2,4
15706,4,4,4,4,1,2,4,4
15708,4,4,4,4,1,4,4,4
15709,4,4,4,4,1,4,4,4
15712,4,4,4,4,1,1,2,1
15713,4,4,4,4,1,4,4,4
15717,4,4,4,4,1,4,4,4
15719,4,4,4,4,1,3,2,4
15721,4,4,4,4,1,2,1,4
15722,4,4,4,4,1,4,4,4
15725,4,4,4,4,1,4,4,4
15727,4,4,4,4,1,1,4,4
15728,4,4,4,4,1,3,4,4
15729,4,4,4,4,1,4,4,4
15730,4,4,4,4,2,4,4,4
15732,4,4,4,4,2,4,4,4
15733,4,4,4,4,1,2,4,4
15734,4,4,4,4,1,4,4,4
15736,4,4,4,4,2,1,4,4
15744,4,4,4,4,1,4,4,4
15745,4,4,4,4,1,4,4,4
15746,4,4,4,4,2,4,4,4
15748,4,4,4,4,1,4,4,4
15750,4,4,4,4,1,4,4,4
15753,4,4,4,4,2,4,4,4
15754,4,4,4,4,1,4,4,4
15755,4,4,4,4,2,4,4,4
15756,4,4,4,4,2,4,4,4
15757,4,4,4,4,1,4,4,4
15758,4,4,4,4,1,1,4,4
15760,4,4,4,4,1,4,4,4
15762,4,4,4,4,1,4,4,4
15765,4,4,4,4,2,4,4,4
15766,4,4,4,4,3,3,4,4
15772,4,4,4,4,2,4,4,4
15774,4,4,4,4,1,2,4,4
15883,4,4,4,4,4,4,1,4
15884,4,4,4,4,4,4,2,1
15888,4,4,4,4,4,4,1,1
15892,4,4,4,4,4,4,1,1
15893,4,4,4,4,4,4,1,1
15897,4,4,4,4,4,4,2,1
15899,4,4,4,4,4,4,2,1
15900,4,4,4,4,4,4,1,4
15902,4,4,4,4,4,4,2,4
15903,4,4,4,4,4,4,1,4
15905,4,4,4,4,4,4,2,4
15906,4,4,4,4,4,4,1,1
15907,4,4,4,4,4,4,2,1
15908,4,4,4,4,4,4,1,4
15909,4,4,4,4,4,4,2,1
15910,4,4,4,4,4,4,2,1
15913,4,4,4,4,4,4,2,1
15914,4,4,4,4,4,4,2,1
15915,4,4,4,4,4,4,1,1
15916,4,4,4,4,4,4,1,4
15917,4,4,4,4,4,4,1,4
15918,4,4,4,4,4,4,2,4
15919,4,4,4,4,4,4,2,4
15920,4,4,4,4,4,4,2,1
15922,4,4,4,4,4,4,1,1
15923,4,4,4,4,4,4,1,4
15924,4,4,4,4,4,4,2,4
15925,4,4,4,4,4,4,1,1
15928,4,4,4,4,4,4,1,4
15929,4,4,4,4,4,4,1,1
15934,4,4,4,4,4,4,1,4
15935,4,4,4,4,4,4,1,1
15940,4,4,4,4,4,4,1,1
15941,4,4,4,4,4,4,1,4
15944,4,4,4,4,4,4,1,4
15947,4,4,4,4,4,4,1,4
15948,4,4,4,4,4,4,1,1
15949,4,4,4,4,4,4,1,4
15952,4,4,4,4,4,4,1,4
15953,4,4,4,4,4,4,1,4
15955,4,4,4,4,4,4,1,4
15956,4,4,4,4,4,4,1,4
15957,4,4,4,4,4,4,1,4
15959,4,4,4,4,4,4,1,4
15960,4,4,4,4,4,4,1,4
15962,4,4,4,4,4,4,1,1
15969,4,4,4,4,4,4,1,4
15970,4,4,4,4,4,4,1,1
15971,4,4,4,4,4,4,1,1
15973,4,4,4,4,4,4,1,4
15977,4,4,4,4,4,4,1,4
15978,4,4,4,4,4,4,1,4
